,countyFIPS,year,proprietors,population,stateFIPS,quarter,Emp,emp_growth,str,imtr,cmtr,KPost2012,logy,qtryr,pop10,percap_emp,tt_CO,tt_KS,tt_MO,tt_NE,tt_OK
1536,8001,2010,40124,443681,8,1,128286,-0.031131049,2.9,4.63,4.63,0,11.762017425398035,2010.1,44.3681,0.28914017052792435,7,0,0,0,0
1537,8001,2010,40124,443681,8,2,133394,0.039817283,2.9,4.63,4.63,0,11.801062433940897,2010.2,44.3681,0.3006529465990205,7,0,0,0,0
1538,8001,2010,40124,443681,8,3,135286,0.014183546000000003,2.9,4.63,4.63,0,11.81514633504309,2010.3,44.3681,0.3049172716433654,7,0,0,0,0
1539,8001,2010,40124,443681,8,4,134766,-0.003843709,2.9,4.63,4.63,0,11.81129522012685,2010.4,44.3681,0.30374525841764694,7,0,0,0,0
1540,8003,2010,2188,15927,8,1,5281,-0.075778789,2.9,4.63,4.63,0,8.571870752706934,2010.1,1.5927,0.3315753123626546,7,0,0,0,0
1541,8003,2010,2188,15927,8,2,5231,-0.009467904,2.9,4.63,4.63,0,8.562357743370612,2010.2,1.5927,0.3284359892007283,7,0,0,0,0
1542,8003,2010,2188,15927,8,3,5488,0.049130185,2.9,4.63,4.63,0,8.610319169405722,2010.3,1.5927,0.3445721102530295,7,0,0,0,0
1543,8003,2010,2188,15927,8,4,5740,0.045918367,2.9,4.63,4.63,0,8.655214489313613,2010.4,1.5927,0.36039429898913794,7,0,0,0,0
1544,8005,2010,86386,574785,8,1,235712,0.008031338,2.9,4.63,4.63,0,12.370365999804736,2010.1,57.4785,0.41008725001522306,7,0,0,0,0
1545,8005,2010,86386,574785,8,2,240780,0.021500815,2.9,4.63,4.63,0,12.391638932489018,2010.2,57.4785,0.418904459928495,7,0,0,0,0
1546,8005,2010,86386,574785,8,3,245961,0.021517568,2.9,4.63,4.63,0,12.41292826576088,2010.3,57.4785,0.42791826509042513,7,0,0,0,0
1547,8005,2010,86386,574785,8,4,242523,-0.013977826,2.9,4.63,4.63,0,12.398851830222963,2010.4,57.4785,0.4219368981445236,7,0,0,0,0
1548,8007,2010,3737,12055,8,1,2565,-0.014976959,2.9,4.63,4.63,0,7.84971375760487,2010.1,1.2055,0.21277478224802987,7,0,0,0,0
1549,8007,2010,3737,12055,8,2,2248,-0.123586745,2.9,4.63,4.63,0,7.717796211013582,2010.2,1.2055,0.18647863956864372,7,0,0,0,0
1550,8007,2010,3737,12055,8,3,2531,0.12588968,2.9,4.63,4.63,0,7.836369760545124,2010.3,1.2055,0.2099543757776856,7,0,0,0,0
1551,8007,2010,3737,12055,8,4,2528,-0.001185302,2.9,4.63,4.63,0,7.8351837552667485,2010.4,1.2055,0.20970551638324347,7,0,0,0,0
1552,8009,2010,1240,3790,8,1,413,-0.06772009,2.9,4.63,4.63,0,6.023447592961033,2010.1,0.379,0.10897097625329816,7,0,0,0,0
1553,8009,2010,1240,3790,8,2,369,-0.10653753,2.9,4.63,4.63,0,5.910796644040527,2010.2,0.379,0.09736147757255936,7,0,0,0,0
1554,8009,2010,1240,3790,8,3,398,0.078590786,2.9,4.63,4.63,0,5.986452005284438,2010.3,0.379,0.10501319261213721,7,0,0,0,0
1555,8009,2010,1240,3790,8,4,412,0.035175879,2.9,4.63,4.63,0,6.021023349349527,2010.4,0.379,0.10870712401055409,7,0,0,0,0
1556,8011,2010,596,6508,8,1,729,-0.048302872,2.9,4.63,4.63,0,6.591673732008658,2010.1,0.6508,0.1120159803318992,7,0,0,0,0
1557,8011,2010,596,6508,8,2,686,-0.058984911,2.9,4.63,4.63,0,6.530877627725885,2010.2,0.6508,0.10540872771972956,7,0,0,0,0
1558,8011,2010,596,6508,8,3,695,0.013119534,2.9,4.63,4.63,0,6.543911845564792,2010.3,0.6508,0.10679164105716042,7,0,0,0,0
1559,8011,2010,596,6508,8,4,691,-0.005755395999999999,2.9,4.63,4.63,0,6.53813982376767,2010.4,0.6508,0.10617701290719114,7,0,0,0,0
1560,8013,2010,62460,295983,8,1,119406,-0.022015824,2.9,4.63,4.63,0,11.690284729934367,2010.1,29.5983,0.40342181814496103,7,0,0,0,0
1561,8013,2010,62460,295983,8,2,122752,0.028022042,2.9,4.63,4.63,0,11.717921338803055,2010.2,29.5983,0.41472652145562416,7,0,0,0,0
1562,8013,2010,62460,295983,8,3,124548,0.014631126,2.9,4.63,4.63,0,11.73244646275329,2010.3,29.5983,0.420794437518371,7,0,0,0,0
1563,8013,2010,62460,295983,8,4,123563,-0.007908597,2.9,4.63,4.63,0,11.72450642643994,2010.4,29.5983,0.41746654368663066,7,0,0,0,0
1564,8014,2010,8979,56275,8,1,28387,-0.00168806,2.9,4.63,4.63,0,10.253686572872523,2010.1,5.6275,0.5044335850733007,7,0,0,0,0
